popularity,original_title,director,runtime,release_date,vote_count,vote_average,budget_adj,revenue_adj
4.564549,Ted 2,Seth MacFarlane,115,6/25/2015,1666,6.3,62559972.47,198594430.1
4.503789,Kingsman: The Secret Service,Matthew Vaughn,130,1/24/2015,3833,7.6,74519967.21,371497801.7
4.062293,Spotlight,Tom McCarthy,128,11/6/2015,1559,7.8,18399991.9,81278719.4
3.968891,Maze Runner: The Scorch Trials,Wes Ball,132,9/9/2015,1849,6.4,56119975.31,286356245.9
3.927333,Mr. Holmes,Bill Condon,103,6/19/2015,425,6.4,0,27006774.88
3.899557,Chappie,Neill Blomkamp,120,3/4/2015,1990,6.6,45079980.16,93903685.24
3.877764,Pitch Perfect 2,Elizabeth Banks,115,5/7/2015,1264,6.8,26679988.26,264505582.1
3.64821,Bridge of Spies,Steven Spielberg,141,10/15/2015,1638,7.1,36799983.81,149601569.3
3.644541,Goosebumps,Rob Letterman,103,8/5/2015,600,6.2,53359976.52,138157089
3.557846,Room,Lenny Abrahamson,117,10/16/2015,1520,8,5519997.571,32569603.03
3.358321,Solace,Afonso Poyart,101,9/3/2015,474,6.2,0,20566197.19
3.339135,The Good Dinosaur,Peter Sohn,93,11/14/2015,1087,6.6,160999929.2,305371920.9
3.23737,Run All Night,Jaume Collet-Serra,114,3/11/2015,814,6.3,45999979.76,65836683.51
3.227329,Brooklyn,John Crowley,111,11/4/2015,754,7.3,10119995.55,57110024.59
3.202719,Straight Outta Compton,F. Gary Gray,147,8/13/2015,918,7.7,25759988.67,185504110.1
3.080505,The Last Witch Hunter,Breck Eisner,106,10/21/2015,879,5.6,82799963.57,129164861.2
3.079522,Steve Jobs,Danny Boyle,122,10/9/2015,1035,6.9,27599987.86,31686509.22
3.053421,The Man from U.N.C.L.E.,Guy Ritchie,116,8/13/2015,1548,7,68999969.64,99493456.5
3.025852,The Age of Adaline,Lee Toland Krieger,112,4/16/2015,1221,7.3,22999989.88,39219376.66
3.023253,Hardcore Henry,Ilya Naishuller,97,9/12/2015,396,5.9,9199995.952,13187081
2.976436,Home,Tim Johnson,94,3/18/2015,1060,6.9,124199945.4,339361177.1
2.968254,Paper Towns,Jake Schreier,109,7/9/2015,1252,6.2,11039995.14,78671281.38
2.93234,Wild Card,Simon West,92,1/14/2015,481,5.3,27599987.86,0
2.885126,The Lobster,Yorgos Lanthimos,118,10/8/2015,638,6.6,3679998.381,8339346.451
2.883233,Carol,Todd Haynes,118,11/20/2015,562,7.1,10855995.22,37050347.9
2.814802,The Intern,Nancy Meyers,121,9/24/2015,1255,7.1,32199985.83,178999419.5
2.798017,Everest,Baltasar Korm_¡kur,121,9/10/2015,1172,6.7,50599977.74,187153294.9
2.793297,Joy,David O. Russell,124,12/24/2015,1001,6.4,55199975.71,93043293.34
2.614499,Point Break,Ericson Core,114,12/3/2015,505,5.5,96599957.5,123021160
2.584264,Burnt,John Wells,100,10/2/2015,631,6.3,18399991.9,33678188.74
2.578919,Self/less,Tarsem Singh,116,7/10/2015,719,6.2,23919989.48,28081355.56
2.575711,Mortdecai,David Koepp,106,1/21/2015,696,5.3,55199975.71,27985062.89
2.557859,The Danish Girl,Tom Hooper,120,11/27/2015,867,7.3,13799993.93,59056175.18
2.550747,Blackhat,Michael Mann,133,1/13/2015,584,5,64399971.66,16332697.61
2.487849,Sicario,Denis Villeneuve,121,9/17/2015,1479,7.1,27599987.86,77303716.71
2.487042,Fantastic Four,Josh Trank,100,8/5/2015,1565,4.4,110399952.3,154539320.3
2.46449,The Witch,Robert Eggers,92,3/24/2015,700,5.8,3219998.583,37190013.04
2.404473,Spy,Paul Feig,120,5/6/2015,1840,6.9,59799973.69,216812826.1
2.395366,Focus,Glenn Ficarra|John Requa,105,2/25/2015,1831,6.7,46091979.72,141645863.6
2.354654,Hitman: Agent 47,Aleksander Bach,96,8/20/2015,820,5.5,32199985.83,75759810.19
2.345821,In the Heart of the Sea,Ron Howard,122,11/20/2015,805,6.4,91999959.52,86315059.38
2.331636,Survivor,James McTeigue,96,5/21/2015,280,5.4,18399991.9,0
2.331567,Creed,Ryan Coogler,133,11/25/2015,1171,7.3,32199985.83,126900665.8
2.31767,Trainwreck,Judd Apatow,125,7/17/2015,849,6.1,32199985.83,129532072.6
2.29573,Eye in the Sky,Gavin Hood,102,9/11/2015,265,7.2,11959994.74,30220316.9
2.28135,Legend,Brian Helgeland,131,9/9/2015,619,6.7,22999989.88,39535137.08
2.272044,Beyond the Reach,Jean-Baptiste L_©onetti,95,4/17/2015,81,5.5,0,42223.38142
2.234573,Pan,Joe Wright,111,9/24/2015,586,5.9,137999939.3,118117202.4
2.165433,Mythica: The Darkspore,Anne K. Black,108,6/24/2015,27,5.1,0,0
2.141506,Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,105,6/12/2015,569,7.7,0,0
2.140199,The Peanuts Movie,Steve Martino,88,11/5/2015,414,6.4,91079959.92,226534364.3
2.121884,Concussion,Peter Landesman,123,11/12/2015,500,6.9,32199985.83,44733666.56
2.096273,The Night Before,Jonathan Levine,100,11/20/2015,363,6.1,22999989.88,48204295.11
2.080935,Knock Knock,Eli Roth,99,6/26/2015,473,4.8,2299998.988,4796917.449
2.070708,The Longest Ride,"George Tillman, Jr.",128,4/9/2015,711,7.3,31279986.24,57972193.01
2.060162,Hotel Transylvania 2,Genndy Tartakovsky,89,9/21/2015,919,6.8,73599967.62,428888671.8
2.055572,Love the Coopers,Jessie Nelson,107,11/12/2015,111,5.3,15639993.12,22079990.28
2.049886,The Walk,Robert Zemeckis,123,9/30/2015,706,6.8,32199985.83,56287361.87
2.026651,Tracers,Daniel Benmayor,94,1/15/2015,326,5.9,10119995.55,1714249.046
2.000338,Vacation,John Francis Daley|Jonathan M. Goldstein,99,7/28/2015,846,6.1,28519987.45,96033410.71
1.984529,Poltergeist,Gil Kenan,93,5/20/2015,589,5,32199985.83,87802915.85
1.980039,Maggie,Henry Hobson,95,5/8/2015,384,5.1,3679998.381,172142.9643
1.959765,Equals,Drake Doremus,101,9/4/2015,135,5.6,0,1839999.19
1.95632,Child 44,Daniel Espinosa,137,3/15/2015,341,5.9,45999979.76,3058382.254
1.926739,The Gift,Joel Edgerton,108,7/30/2015,631,6.6,4599997.976,54260336.89
1.904898,Daddy's Home,Sean Anders,96,12/25/2015,568,5.7,45999979.76,221131463.3
1.876037,Mythica: The Necromancer,A. Todd Smith,0,12/19/2015,11,5.4,0,0
1.872696,Vice,Brian A Miller,96,1/16/2015,181,4.1,9199995.952,0
1.865007,The Little Prince,Mark Osborne,92,7/29/2015,423,7.5,58879974.09,89765510.5
1.841779,Alvin and the Chipmunks: The Road Chip,Walt Becker,92,12/17/2015,278,5.7,0,215055014.1
1.82313,The Dressmaker,Jocelyn Moorhouse,118,10/1/2015,197,6.9,10975595.17,16872792.58
1.758618,The DUFF,Ari Sandel,100,2/20/2015,753,6.8,7819996.559,40046325.66
1.742286,Sinister 2,Ciaran Foy,97,8/19/2015,331,5.5,9199995.952,48651435.15
1.73518,Paul Blart: Mall Cop 2,Andy Fickman,94,4/16/2015,422,5.3,27599987.86,98989419.08
1.724712,Frozen Fever,Chris Buck|Jennifer Lee,8,3/9/2015,475,7,0,0
1.661789,High-Rise,Ben Wheatley,119,9/26/2015,161,5.4,0,0
1.651078,The Boy Next Door,Rob Cohen,91,1/23/2015,810,3.9,3679998.381,46150034.45
1.646664,Spooks: The Greater Good,Bharat Nalluri,104,4/11/2015,114,5.6,0,0
1.532997,Entourage,Doug Ellin,104,6/3/2015,364,6.2,27599987.86,45322311.74
1.510096,The Wedding Ringer,Jeremy Garelick,101,1/16/2015,446,6.5,21159990.69,73415857.3
1.499614,Scouts Guide to the Zombie Apocalypse,Christopher B. Landon,93,10/23/2015,288,6.2,13799993.93,13671898.7
1.495112,The Visit,M. Night Shyamalan,94,9/10/2015,729,5.9,4599997.976,90574017.19
1.483246,Black Mass,Scott Cooper,122,9/4/2015,848,6.3,48759978.55,91793583.37
1.449072,Heist,Scott Mann,93,11/13/2015,233,5.4,8187996.397,46125.0997
1.448002,Krampus,Michael Dougherty,98,11/26/2015,342,5.9,13799993.93,56624785.53
1.443406,Dark Places,Gilles Paquet-Brenner,113,3/31/2015,322,5.7,18399991.9,191900.8756
1.41239,No Escape,John Erick Dowdle,103,8/26/2015,519,6.7,4599997.976,50065340.21
1.40805,Dope,Rick Famuyiwa,103,6/19/2015,448,7.3,643999.7166,16547831.24
1.388251,American Ultra,Nima Nourizadeh,96,8/19/2015,695,5.9,25759988.67,25951426.78
1.388032,Woman in Gold,Simon Curtis,120,4/10/2015,277,7.3,10119995.55,56690166.22
1.38032,The Scorpion King: The Lost Throne,Mike Elliott,105,1/9/2015,22,4.5,0,0
1.376605,Sisters,Jason Moore,118,12/18/2015,399,5.9,27599987.86,96610126.25
1.360926,Project Almanac,Dean Israelite,106,1/30/2015,637,6.3,11039995.14,29668368.67
1.360827,Absolutely Anything,Terry Jones,85,6/26/2015,199,5.8,0,4774472.219
1.355822,The Transporter Refueled,Camille Delamarre,96,9/3/2015,407,5.3,22999989.88,66819267
1.345982,Crimson Peak,Guillermo del Toro,119,10/13/2015,819,6.4,50599977.74,68705406.01
1.342839,Everly,Joe Lynch,90,1/23/2015,169,5.1,0,0
1.338481,Magic Mike XXL,Gregory Jacobs,115,7/1/2015,501,6.3,13615994.01,112619962.9
1.338322,Paranormal Activity: The Ghost Dimension,Gregory Plotkin,88,10/21/2015,267,5,9199995.952,71851557.15
1.329702,Slow West,John Maclean,84,4/16/2015,229,6.6,0,210766.3873
1.316239,Trumbo,Jay Roach,124,10/27/2015,273,7.2,13799993.93,7576804.786
1.315266,Secret in Their Eyes,Billy Ray,111,10/14/2015,202,6.2,17939992.11,29614535.81
1.29314,Mistress America,Noah Baumbach,84,8/14/2015,132,6.4,0,2300395.508
1.291013,The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,93,2/5/2015,533,5.7,68079970.04,286666383.3
1.284541,True Story,Rupert Goold,100,4/17/2015,354,6,0,4342117.489
1.278928,Max,Boaz Yakin,111,6/26/2015,214,7,18399991.9,40449856.8
1.25358,Shaun the Sheep Movie,Mark Burton|Richard Starzack,85,2/5/2015,340,6.9,0,54923975.83
1.251681,Louder Than Bombs,Joachim Trier,109,5/18/2015,43,6.3,10119995.55,0
1.245224,A Perfect Day,Fernando Le_³n de Aranoa,106,8/28/2015,102,6.3,0,1566237.671
1.225325,The Gunman,Pierre Morel,115,2/16/2015,283,5.6,36799983.81,9811564.763
1.191138,Unfriended,Levan Gabriadze,82,4/17/2015,643,5.6,919999.5952,57851497.35
1.178831,Hot Pursuit,Anne Fletcher,87,5/8/2015,472,5.5,32199985.83,47545764
1.164724,Insidious: Chapter 3,Leigh Whannell,97,6/4/2015,610,6.3,9199995.952,95959500.7
1.161812,Z for Zachariah,Craig Zobel,97,8/13/2015,181,5.5,0,109004.312
1.144808,Dragonheart 3: The Sorcerer's Curse,Colin Teague,97,2/24/2015,59,4.5,0,0
1.142518,The Lady in the Van,Nicholas Hytner,104,11/13/2015,135,5.9,5519997.571,38076655.29
1.138395,Victor Frankenstein,Paul McGuigan,109,11/10/2015,408,5.5,36799983.81,31489100.3
1.128081,Brothers of the Wind,Gerado Olivares|Otmar Penker,98,12/24/2015,11,7.5,0,0
1.125239,Anomalisa,Duke Johnson|Charlie Kaufman,90,12/30/2015,259,6.7,7359996.762,3458541.598
1.073349,Bone Tomahawk,S. Craig Zahler,132,10/23/2015,220,6.3,1655999.271,0
1.065888,Regression,Alejandro Amen_¡bar,106,10/1/2015,310,5.2,0,16257405.77
1.063055,Pawn Sacrifice,Edward Zwick,114,9/16/2015,148,6.6,0,0
1.046518,The Man Who Knew Infinity,Matt Brown,108,9/17/2015,104,7.1,0,10554653.04
1.041922,Momentum,Stephen S. Campanelli,96,8/1/2015,100,5.8,18399991.9,0
1.03839,The Diary of a Teenage Girl,Marielle Heller,102,8/7/2015,186,6.8,1839999.19,1358841.242
1.036825,Pay the Ghost,Uli Edel,94,9/16/2015,114,5.3,0,0
1.02762,The Voices,Marjane Satrapi,101,2/6/2015,371,6,0,0
1.021441,Last Knights,Kazuaki Kiriya,115,4/3/2015,237,6.3,0,3352102.245
1.008474,Il racconto dei racconti,Matteo Garrone,125,5/14/2015,211,5.7,11039995.14,0
1.007054,Irrational Man,Woody Allen,95,7/17/2015,319,6.1,10119995.55,25199786.19
0.973316,Queen of the Desert,Werner Herzog,128,9/3/2015,30,6,13799993.93,0
0.956096,Ricki and the Flash,Jonathan Demme,100,7/10/2015,152,5.5,16559992.71,38019285.03
0.953647,Miss You Already,Catherine Hardwicke,112,9/12/2015,139,7.2,0,0
0.953046,Kung Fury,David Sandberg,31,5/28/2015,487,7.7,579617.225,0
0.950793,The Perfect Guy,David M. Rosenthal,100,9/11/2015,122,5.6,11039995.14,55451294.76
0.938432,A Bigger Splash,Luca Guadagnino,120,11/26/2015,69,5.8,0,1781601.296
0.93762,While We're Young,Noah Baumbach,97,3/27/2015,265,5.9,9199995.952,6980483.129
0.927339,Get Hard,Etan Cohen,100,3/26/2015,661,5.9,36799983.81,97990493.64
0.91704,Kidnapping Mr. Heineken,Daniel Alfredson,95,3/12/2015,131,5.8,0,0
0.913085,The Ridiculous 6,Frank Coraci,119,12/11/2015,252,4.8,55199975.71,0
0.90686,Kill Me Three Times,Kriv Stenders,90,4/10/2015,96,5.1,0,0
0.906036,The 33,Patricia Riggen,120,8/6/2015,262,5.8,22999989.88,22910495.08
0.898296,Suffragette,Sarah Gavron,106,10/16/2015,231,7.1,12879994.33,14722219.92
0.894477,45 Years,Andrew Haigh,95,8/28/2015,167,6,0,0
0.880938,We Are Your Friends,Max Joseph,96,8/26/2015,412,6.2,5519997.571,10232318.3
0.880268,Barely Lethal,Kyle Newman,96,4/30/2015,215,5.5,0,5588.997541
0.874641,Macbeth,Justin Kurzel,113,8/16/2015,269,6.4,0,12137055.1
0.872149,Extraction,Steven C. Miller,83,12/18/2015,57,4.2,0,15432.99321
0.861179,Jenny's Wedding,Mary Agnes Donoghue,94,7/31/2015,92,5.2,0,0
0.848748,Descendants,Kenny Ortega,112,7/31/2015,262,6.7,0,0
0.843174,Tumbledown,Sean Mewshaw,105,4/18/2015,22,6.6,0,0
0.842202,Far from the Madding Crowd,Thomas Vinterberg,119,5/1/2015,220,6.9,0,27811566.6
0.836941,The End of the Tour,James Ponsoldt,106,7/31/2015,126,7.3,0,2762652.064
0.832487,The Second Best Exotic Marigold Hotel,John Madden,122,2/26/2015,196,6.4,9199995.952,79099969.92
0.829111,Little Boy,Alejandro Monteverde,106,4/23/2015,113,7.1,18399991.9,5906690.881
0.821443,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,Brandon Vietti,48,2/10/2015,14,6.4,0,0
0.820691,Remember,Atom Egoyan,94,10/23/2015,75,7.7,0,1827684.996
0.814206,Aloha,Cameron Crowe,105,5/27/2015,469,5.2,34039985.02,24150007.77
0.813893,Accidental Love,David O. Russell|Stephen Greene,100,2/10/2015,64,3.6,23919989.48,0
0.810667,Halo: The Fall of Reach,Ian Kirby,67,10/27/2015,32,5.3,0,0
0.795762,Our Brand Is Crisis,David Gordon Green,108,9/11/2015,122,5.7,25759988.67,6442077.285
0.792471,Into the Forest,Patricia Rozema,101,6/3/2015,57,5.1,0,0
0.787969,The Invitation,Karyn Kusama,100,3/13/2015,192,6.4,0,213197.9462
0.781809,The Benefactor,Andrew Renzi,90,4/17/2015,55,4.5,0,0
0.773909,Open Season: Scared Silly,David Feiss,85,12/31/2015,33,5.6,0,0
0.77107,Cop Car,Jon Watts,86,8/7/2015,174,5.5,0,123787.7855
0.768138,Mojave,William Monahan,93,4/18/2015,17,4.3,0,0
0.758133,Sleeping with Other People,Leslye Headland,100,6/26/2015,197,6.2,0,2956985.419
0.747541,Forsaken,Jon Cassar,90,9/16/2015,53,5.6,10119995.55,0
0.738404,Amy,Asif Kapadia,128,7/3/2015,345,7.5,0,7740089.074
0.7299,Madame Bovary,Sophie Barthes,118,6/4/2015,52,5.3,0,0
0.719407,The Hallow,Corin Hardy,97,11/6/2015,122,4.9,0,0
0.714131,Barbie in Princess Power,Zeke Norton,74,1/29/2015,13,5.5,0,0
0.707355,Howl,Paul Hyett,89,10/1/2015,62,4.9,0,0
0.706023,Freeheld,Peter Sollett,103,10/2/2015,86,7.1,6439997.166,527467.9679
0.70137,Man Up,Ben Palmer,88,5/29/2015,264,6.5,0,0
0.699932,Love,Gaspar No_©,134,7/6/2015,307,4.7,2759998.786,639647.1986
0.69957,Truth,James Vanderbilt,121,9/12/2015,89,6.4,8831996.114,2338228.651
0.696184,Return to Sender,Fouad Mikati,95,5/31/2015,88,5,0,0
0.690479,Danny Collins,Dan Fogelman,107,3/20/2015,114,6.6,9199995.952,9968887.454
0.689579,Rock the Kasbah,Barry Levinson,100,10/22/2015,56,5.1,13799993.93,2779009.657
0.689571,Fathers and Daughters,Gabriele Muccino,116,10/1/2015,142,7,2060799.093,0
0.673792,"Hello, My Name Is Doris",Michael Showalter,95,11/27/2015,87,6.6,919999.5952,13289393.23
0.669351,The Vatican Tapes,Mark Neveldine,91,7/24/2015,164,4.5,11959994.74,1641981.238
0.661471,99 Homes,Ramin Bahrani,112,9/25/2015,121,6.8,7359996.762,1298972.268
0.661163,Hot Tub Time Machine 2,Steve Pink,93,2/20/2015,244,5,12879994.33,11329473.94
0.654335,Knight of Cups,Terrence Malick,118,9/10/2015,101,5.7,0,0
0.654046,Manglehorn,David Gordon Green,97,6/3/2015,35,5,3679998.381,131652.8621
0.649628,Mississippi Grind,Ryan Fleck|Anna Boden,108,7/4/2015,74,5.7,0,0
0.644786,400 Days,Matt Osterman,91,10/29/2015,98,4.2,0,0
0.640151,Lava,James Ford Murphy,7,6/19/2015,298,7.3,0,0
0.638557,Air,Christian Cantamessa,94,8/14/2015,135,4.7,0,0
0.633608,Riot,John Lyde,88,9/27/2015,11,5,0,0
0.629561,Septembers of Shiraz,Wayne Blair,110,9/15/2015,14,5.9,0,0
0.607124,Every Thing Will Be Fine,Wim Wenders,118,4/2/2015,44,5.1,0,7391.276748
0.606113,Extinction,Miguel _ngel Vivas,110,8/7/2015,135,5.3,0,0
0.604928,The Childhood of a Leader,Brady Corbet,116,9/2/2015,25,3.6,0,0
0.602165,A Walk in the Woods,Ken Kwapis,104,9/2/2015,171,5.4,7359996.762,33111785.47
0.599751,Clown,Jon Watts,100,3/2/2015,182,5.2,0,0
0.599655,The Lazarus Effect,David Gelb,83,1/29/2015,327,4.9,3035998.664,58981843.81
0.589472,Batman vs. Robin,Jay Oliva,72,4/14/2015,142,6.8,0,0
0.586735,Careful What You Wish For,Elizabeth Allen Rosenbaum,91,5/6/2015,57,5.4,7359996.762,0
0.584363,Racing Extinction,Louie Psihoyos,90,1/24/2015,36,7.8,0,0
0.577814,Unfinished Business,Ken Scott,90,3/5/2015,241,4.9,32199985.83,13276746.92
0.570744,Lost River,Ryan Gosling,95,4/8/2015,129,5.7,1839999.19,41796.50161
0.569443,Cobain: Montage of Heck,Brett Morgen,132,3/23/2015,197,7.5,0,0
0.561032,Hyena Road,Paul Gross,120,10/9/2015,29,5.7,0,0
0.560744,Criminal Activities,Jackie Earle Haley,94,11/20/2015,67,5.9,6439997.166,0
0.560423,Life,Anton Corbijn,112,7/24/2015,75,5.9,11039995.14,0
0.553238,"McFarland, USA",Niki Caro,128,2/20/2015,139,7.4,0,42053235.78
0.548587,Backtrack,Michael Petroni,90,7/25/2015,52,5.4,0,0
0.547827,X+Y,Morgan Matthews,111,3/13/2015,133,6,0,0
0.546458,Home Sweet Hell,Anthony Burns,98,3/13/2015,136,4.9,2759998.786,0
0.542568,Ooops! Noah is Gone...,Toby Genkel|Sean McCormack,85,4/9/2015,50,5.7,5519997.571,0
0.5327,The Unspoken,Sheldon Wilson,90,10/24/2015,10,4.1,0,0
0.532239,Hot Girls Wanted,Jill Bauer|Ronna Gradus,84,5/29/2015,158,5.9,0,0
0.532205,The Gallows,Travis Cluff|Chris Lofing,87,7/10/2015,247,5,91999.95952,39251239.93
0.52985,Dirty Weekend,Neil LaBute,93,9/4/2015,12,4.8,0,0
0.527957,I Spit on Your Grave III: Vengeance is Mine,R.D. Braunstein,91,10/9/2015,100,5,0,0
0.526642,Experimenter,Michael Almereyda,97,10/16/2015,94,6.9,0,0
0.524315,By the Sea,Angelina Jolie,122,11/12/2015,82,5.4,9199995.952,3068131.49
0.52025,Woodlawn,Andrew Erwin|Jon Erwin,123,10/16/2015,32,6.8,0,0
0.516954,The Hollow,Sheldon Wilson,90,10/24/2015,19,5.1,0,0
0.515401,Visions,Kevin Greutert,80,8/28/2015,67,5.5,0,0
0.514735,Beyond the Mask,Chad Burns,103,4/6/2015,13,6.2,0,1137205.98
0.513386,I Am Here,Anders Morgenthaler,97,6/12/2015,18,4,0,0
0.50732,Wild Horses,Robert Duvall,100,6/5/2015,16,4.1,0,0
0.504828,Pressure,Ron Scalpello,91,6/4/2015,29,5,0,0
0.502489,Hidden,Ross Duffer|Matt Duffer,83,9/15/2015,96,6.5,0,0
0.497265,Hell & Back,Tom Gianas|Ross Shuman,86,10/2/2015,47,4.3,0,145146.4961
0.486351,Robot Overlords,Jon Wright,90,1/29/2015,63,4.9,19319991.5,0
0.482422,The Man with the Iron Fists 2,Roel Rein_©,90,3/10/2015,43,4.7,0,0
0.47784,LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!,Rick Morales,67,8/25/2015,17,6.8,0,0
0.476341,Crown for Christmas,Alex Zamm,84,11/27/2015,10,7.6,0,0
0.475473,Spare Parts,Sean McNamara,83,1/16/2015,38,6.6,0,0
0.474788,The World Made Straight,David Burris,119,1/9/2015,13,5.8,0,0
0.474626,Last Shift,Anthony DiBlasi,88,10/6/2015,77,5.6,0,0
0.473344,Frankenstein,Bernard Rose,89,11/3/2015,14,4.5,0,0
0.471393,Cartel Land,Matthew Heineman,100,7/3/2015,112,7.5,0,0
0.471091,Superfast!,Jason Friedberg|Aaron Seltzer,99,3/5/2015,60,4.4,18399991.9,0
0.470991,Moonwalkers,Antoine Bardou-Jacquet,107,3/14/2015,53,6,0,0
0.470124,Chi-Raq,Spike Lee,127,12/4/2015,33,5.9,0,0
0.467556,Bad Asses on the Bayou,Craig Moss,85,3/6/2015,24,5.8,4875997.855,0
0.465707,Strange Magic,Gary Rydstrom,99,1/23/2015,68,6.1,0,12515171.25
0.46209,Black or White,Mike Binder,121,1/30/2015,72,6.7,8279996.357,19845485.15
0.459597,Dead Rising,Zach Lipovsky,118,3/27/2015,82,4.9,0,0
0.454151,Deathgasm,Jason Lei Howden,86,8/28/2015,83,6.5,0,0
0.452939,Justice League: Gods and Monsters,Sam Liu,76,7/28/2015,99,6.9,0,0
0.450872,I Saw the Light,Marc Abraham,123,9/11/2015,19,5.6,11959994.74,1515044.293
0.45016,Good Kill,Andrew Niccol,104,4/9/2015,132,5.7,0,291154.1119
0.444265,Southbound,Roxanne Benjamin|David Bruckner|Patrick Horvath|Chad Villella|Matt Bettinelli-Olpin|Tyler Gillett|Justin Martinez|Radio Silence,89,9/17/2015,73,6,0,0
0.444193,Star Trek: Renegades,Tim Russ,88,8/1/2015,31,4.1,0,0
0.443525,The Boy,Craig Macneill,110,8/14/2015,22,6.1,0,0
0.442835,Riley's First Date?,Josh Cooley,5,11/3/2015,137,7.3,0,0
0.442427,The Program,Stephen Frears,103,9/16/2015,107,5.9,0,3023530.83
0.442067,Lila & Eve,Charles Stone III,94,7/31/2015,78,5.2,0,0
0.441882,The Final Girls,Todd Strauss-Schulson,91,10/9/2015,211,6.6,0,0
0.441402,He Never Died,Jason Krawczyk,99,3/17/2015,65,6.3,0,0
0.439598,A Very Murray Christmas,Sofia Coppola,56,12/4/2015,101,5.4,0,0
0.438409,Kill Your Friends,Owen Harris,100,11/6/2015,54,5.5,0,0
0.437088,Battle For SkyArk,Simon Hung,88,5/18/2015,18,3.5,0,0
0.435582,Jem and the Holograms,Jon M. Chu,119,10/22/2015,69,5.7,4599997.976,2146988.335
0.433073,The Adderall Diaries,Pamela Romanowsky,105,4/16/2015,23,4.8,0,0
0.429892,Grizzly,David Hackl,94,2/27/2015,35,5,9199995.952,0
0.427116,Where to Invade Next,Michael Moore,120,12/23/2015,67,7.2,0,0
0.424813,Beasts of No Nation,Cary Fukunaga,137,9/11/2015,306,7.5,5519997.571,83514.80325
0.423161,A Christmas Horror Story,Grant Harvey|Steven Hoban|Brett Sullivan,99,10/2/2015,56,5.6,0,0
0.42179,Sunset Song,Terence Davies,135,12/4/2015,19,7.1,0,0
0.429756,Synchronicity,Jacob Gentry,101,7/22/2015,45,5.3,0,4144.598176
0.417191,12 Gifts of Christmas,Peter Sullivan,84,11/26/2015,12,6.3,0,0
0.415041,The Pack,Nick Robertson,90,8/5/2015,15,5.5,0,0
0.414913,Demonic,Will Canon,83,2/12/2015,91,5,2759998.786,3116038.629
0.370258,The Girl in the Photographs,Nick Simon,95,9/14/2015,10,4.7,0,0
